slug,category,title,description,priority,haloscan_volume,haloscan_kd,haloscan_cpc
test-avis-wesco-grandy-55l,test-avis-modele,Test avis Wesco Grandy 55L,Notre test complet de la poubelle Wesco Grandy 55 litres,medium,60,20,0.45
test-avis-wesco-kickmaster,test-avis-modele,Test avis Wesco Kickmaster,La poubelle Wesco Kickmaster au test : notre avis,medium,50,18,0.42
test-avis-rotho-bio-compost,test-avis-modele,Test avis Rotho bac compost cuisine,Avis sur le bac à compost Rotho pour la cuisine,medium,90,22,0.3
test-avis-hailo-big-box-swing-35l,test-avis-modele,Test avis Hailo Big Box Swing 35L,Notre test de la poubelle Hailo Big Box Swing 35 litres,medium,40,22,0.25
test-poubelle-automatique-infrarouge,test-avis-modele,Test poubelle automatique infrarouge : notre avis,Poubelles automatiques bon marché vs premium : test comparatif,high,200,22,0.65
test-composteur-bokashi-cuisine,test-avis-modele,Test composteur Bokashi cuisine,Notre test du composteur Bokashi pour la cuisine d'appartement,high,350,28,0.55
test-lombricomposteur-can-o-worms,test-avis-modele,Test lombricomposteur Can-O-Worms,Avis complet sur le lombricomposteur Can-O-Worms,medium,100,22,0.45
zero-dechet-maison-guide-debutant,zero-dechet,Zéro déchet maison : guide du débutant,Commencer une démarche zéro déchet à la maison,high,800,30,0.35
reduire-dechets-cuisine-conseils,zero-dechet,Réduire ses déchets de cuisine : 10 conseils pratiques,Astuces pour générer moins de déchets dans sa cuisine,high,500,25,0.3
sac-poubelle-compostable-certifie,zero-dechet,Sac poubelle compostable certifié,Les vrais sacs compostables certifiés EN13432,high,300,22,0.4
poubelle-sans-plastique-zero-dechet,zero-dechet,Poubelle sans plastique zéro déchet,Poubelles sans plastique pour une maison zéro déchet,medium,150,20,0.42
bilan-carbone-gestion-dechets,zero-dechet,Bilan carbone de votre gestion des déchets,Impact carbone de nos déchets et comment le réduire,medium,100,20,0.3
compostage-appartement-sans-jardin,zero-dechet,Composter en appartement sans jardin,Toutes les solutions de compostage sans espace extérieur,high,600,28,0.45
bokashi-fermentation-dechets-organiques,zero-dechet,Bokashi : fermentation des déchets organiques,"Le bokashi, une solution de compostage rapide et sans odeur",high,700,28,0.5
sac-poubelle-reutilisable-lavable,zero-dechet,Sac poubelle réutilisable et lavable,Remplacer ses sacs poubelle jetables par des sacs lavables,medium,200,22,0.35
emballage-zero-dechet-alternatives,zero-dechet,Alternatives aux emballages plastique jetables,Remplacer les emballages plastique dans sa cuisine,medium,300,25,0.3
dechetterie-que-peut-on-y-jeter,zero-dechet,Déchetterie : que peut-on y déposer ?,Guide complet de ce qu'on peut apporter en déchetterie,high,700,20,0.15
don-objets-avant-poubelle-alternatif,zero-dechet,Donner avant de jeter : alternatives à la poubelle,Les plateformes et solutions pour donner ses objets usagés,medium,250,20,0.2
compost-urbain-solution-ville,zero-dechet,Compost urbain : solutions en ville,Comment composter quand on vit en ville,high,400,25,0.38
comment-choisir-sa-poubelle-cuisine-guide,guide-info,Comment choisir sa poubelle de cuisine ? Guide complet,Tous les critères pour bien choisir sa poubelle de cuisine,top,600,22,0.55
quelle-taille-poubelle-cuisine-choisir,guide-info,Quelle taille de poubelle de cuisine choisir ?,"Guide des capacités : 20L, 30L, 40L, 50L... laquelle pour vous ?",high,500,22,0.5
comment-composter-debutant-guide,guide-info,Comment composter quand on est débutant ?,Guide complet du compostage pour les débutants absolus,top,800,28,0.45
quels-dechets-composter-liste,guide-info,Que peut-on composter ? Liste complète des déchets,Ce qu'on peut et ne peut pas mettre dans son composteur,high,700,22,0.38
pourquoi-trier-ses-dechets-importance,guide-info,Pourquoi trier ses déchets ? L'importance du tri sélectif,Les raisons et bénéfices du tri sélectif pour l'environnement,medium,300,18,0.15
combien-de-temps-se-decompose-un-dechet,guide-info,Combien de temps met un déchet à se décomposer ?,"Durée de décomposition des déchets : plastique, verre, carton...",medium,400,18,0.12
poubelle-cuisine-sans-couvercle-ou-avec,guide-info,Poubelle cuisine : avec ou sans couvercle ?,Avantages et inconvénients des poubelles avec et sans couvercle,medium,200,18,0.4
comment-reduire-ses-poubelles-astuces,guide-info,Comment réduire le contenu de ses poubelles ?,Astuces pratiques pour produire moins de déchets,high,450,22,0.28
poubelle-sous-evier-ou-sur-plan-travail,guide-info,Poubelle sous l'évier ou sur le plan de travail ?,Où placer sa poubelle de cuisine pour plus d'ergonomie,medium,150,15,0.35
difference-composteur-lombricomposteur-bokashi,guide-info,"Différence composteur, lombricomposteur et bokashi",Comprendre les différences entre les systèmes de compostage,high,350,25,0.42
bac-roulant-qui-paie-commune-ou-habitant,guide-info,"Bac roulant : qui paie, la commune ou l'habitant ?",Qui est responsable du bac roulant ? La commune ou le propriétaire ?,medium,200,18,0.15
recycler-sa-vieille-poubelle,guide-info,Que faire de sa vieille poubelle ? Où la recycler ?,Comment se débarrasser d'une vieille poubelle de façon responsable,medium,100,12,0.18
faq-tri-selectif-questions-reponses,guide-info,FAQ tri sélectif : toutes vos questions,Les questions les plus fréquentes sur le tri sélectif répondues,high,500,20,0.15
guide-achat-poubelle-cuisine-2025,guide-info,Guide d'achat poubelle cuisine 2025,Tout ce qu'il faut savoir avant d'acheter une poubelle de cuisine,top,800,28,0.6
guide-achat-composteur-2025,guide-info,Guide d'achat composteur 2025,Comment choisir son composteur en 2025 : critères et conseils,top,700,30,0.55
guide-achat-bac-roulant,guide-info,Guide d'achat bac roulant,Tout savoir pour choisir son bac roulant,high,400,22,0.4
glossaire-dechets-vocabulaire,guide-info,Glossaire des déchets : vocabulaire et définitions,Tous les termes techniques sur les déchets expliqués simplement,low,150,15,0.12
poubelle-joseph-joseph-comparatif,marque,Poubelle Joseph Joseph : comparatif modèles,Tous les modèles Joseph Joseph comparés,high,1000,36,0.87
poubelle-wesco-guide-achat,marque,Poubelle Wesco : guide d'achat complet,Choisir sa poubelle Wesco : modèles et prix,high,400,1,0.46
poubelle-rotho-avis-comparatif,marque,Poubelle Rotho : avis et comparatif,Les poubelles Rotho testées et comparées,medium,590,31,0.26
poubelle-eko-review,marque,Poubelle EKO : avis et tests,Les poubelles EKO : design et qualité au test,medium,170,10,0.46
poubelle-hailo-guide,marque,Poubelle Hailo : guide d'achat,Les poubelles Hailo : encastrables et sur pied,medium,50,73,0.25
poubelle-curver-avis,marque,Poubelle Curver : avis et comparatif,Les poubelles Curver : rapport qualité-prix,medium,10,32,
poubelle-sensea-leroy-merlin,marque,Poubelle Sensea Leroy Merlin,Les poubelles de la marque Sensea disponibles chez Leroy Merlin,medium,120,22,0.38
poubelle-gifi-promotion,marque,Poubelle Gifi : modèles et promotions,Les poubelles disponibles chez Gifi : prix et références,medium,1600,59,0.05
poubelle-ikea-fjallbo,marque,Poubelle Ikea : catalogue et prix 2025,Toutes les poubelles Ikea disponibles et leurs prix,high,5800,47,0.31
poubelle-bama-encastrable,marque,Poubelle Bama encastrable,Les poubelles encastrables de la marque Bama,low,,,
poubelle-tramontina-inox,marque,Poubelle Tramontina inox,Les poubelles Tramontina en inox : qualité et durabilité,low,,,
poubelle-schott-zwiesel-design,marque,Poubelle design haut de gamme luxe,Poubelles luxe et design haut de gamme pour une maison chic,low,80,18,0.85
poubelle-amazon-basics-avis,marque,Poubelle Amazon Basics : avis,Test des poubelles Amazon Basics : rapport qualité-prix,medium,150,20,0.35
sac-poubelle-noir-50l-comparatif,sac-special,Sac poubelle noir 50 litres : comparatif,Les meilleurs sacs poubelle noirs 50L pour un usage courant,medium,300,18,0.28
sac-poubelle-transparent-recyclage,sac-special,Sac poubelle transparent pour recyclage,Sacs transparents pour faciliter le tri des recyclables,medium,200,15,0.25
sac-compost-cuisine-biodegradable,sac-special,Sac compost cuisine biodégradable,Les meilleurs sacs biodégradables pour bac à compost cuisine,high,400,22,0.4
sac-poubelle-avec-liens-cordon,sac-special,Sac poubelle avec liens et cordon,Sacs poubelle avec système de fermeture cordon ou liens,medium,250,18,0.28
sac-poubelle-extra-resistant-professionnel,sac-special,Sac poubelle extra résistant professionnel,Sacs poubelle à haute résistance pour usage intensif,medium,150,18,0.45
sac-poubelle-parfume-lavande-citron,sac-special,Sac poubelle parfumé lavande et citron,Les sacs poubelle parfumés pour masquer les odeurs,medium,200,15,0.25
sac-poubelle-grande-taille-120l,sac-special,Sac poubelle grande taille 120 litres,Sacs poubelle 120L pour bacs roulants,medium,180,15,0.35
sac-poubelle-biosource-amidon-mais,sac-special,Sac poubelle biosourcé amidon de maïs,Sacs biodégradables à base d'amidon de maïs,medium,150,18,0.38
sac-poubelle-sans-plastique-papier,sac-special,Sac poubelle en papier sans plastique,Alternatives aux sacs plastique : sacs poubelle en papier,medium,120,15,0.3
sac-poubelle-oxo-danger-alternatives,sac-special,Sacs oxo-dégradables : dangers et alternatives,Pourquoi éviter les sacs oxo-dégradables et quelles alternatives choisir,medium,80,18,0.3
poubelle-gifi-avis-promotions,marque-promo,Poubelle Gifi : avis et promotions du moment,Les meilleures offres de poubelles chez Gifi,high,1600,59,0.05
poubelle-leroy-merlin-catalogue,marque-promo,Poubelle Leroy Merlin : catalogue et prix,Toutes les poubelles disponibles chez Leroy Merlin,high,600,69,0.16
poubelle-carrefour-en-ligne,marque-promo,Poubelle Carrefour : catalogue en ligne,Sélection de poubelles disponibles chez Carrefour,medium,900,63,0.22
cache-poubelle-exterieur-jardiland,cache-poubelle-magasin,Cache-poubelle extérieur Jardiland,Les cache-poubelles disponibles chez Jardiland,medium,260,25,0.35
cache-poubelle-exterieur-brico-depot,cache-poubelle-magasin,Cache-poubelle extérieur Brico Dépôt,Cache-poubelles disponibles chez Brico Dépôt,medium,500,28,0.4
cache-poubelle-exterieur-castorama,cache-poubelle-magasin,Cache-poubelle extérieur Castorama,Trouver son cache-poubelle chez Castorama,medium,480,28,0.38
cache-poubelle-exterieur-truffaut,cache-poubelle-magasin,Cache-poubelle extérieur Truffaut,Sélection de cache-poubelles disponibles chez Truffaut,medium,170,22,0.32
panneau-cache-poubelle-design,cache-poubelle-type,Panneau cache-poubelle design,Panneaux décoratifs pour cacher sa poubelle,medium,70,18,0.28
cache-poubelle-triple-3-bacs,cache-poubelle-type,Cache-poubelle triple pour 3 bacs,Cache-poubelle avec 3 compartiments pour le tri sélectif,medium,200,22,0.4
cache-poubelle-pvc-blanc,cache-poubelle-type,Cache-poubelle PVC blanc,Cache-poubelles en PVC blanc résistants aux intempéries,medium,90,18,0.32
cache-poubelle-aluminium-gris,cache-poubelle-type,Cache-poubelle aluminium gris,Cache-poubelles en aluminium : léger et robuste,medium,90,20,0.38
cache-poubelle-idee-creative-jardin,cache-poubelle-type,Idées créatives de cache-poubelle pour jardin,Idées originales pour cacher ses poubelles au jardin,medium,100,15,0.25
poubelle-cuisine-20-litres-comparatif,volume-usage,Poubelle cuisine 20 litres,Les meilleures poubelles de cuisine de 20 litres,high,350,22,0.55
poubelle-cuisine-50-litres-grande,volume-usage,Poubelle cuisine 50 litres grande capacité,Poubelles cuisine 50L pour les grandes familles,high,280,22,0.55
poubelle-cuisine-inox-20l,volume-usage,Poubelle cuisine inox 20 litres,Poubelle cuisine inox 20L : sélection des meilleurs modèles,medium,200,22,0.6
poubelle-cuisine-ronde-30l-pedale,volume-usage,Poubelle cuisine ronde 30L à pédale,Poubelle ronde 30 litres à pédale pour cuisine,medium,180,20,0.55
poubelle-cuisine-carree-10l,volume-usage,Poubelle cuisine carrée 10 litres,Petites poubelles carrées 10L pour cuisine,medium,150,18,0.45
poubelle-compost-cuisine-3-litres,compost-cuisine,Poubelle compost cuisine 3 litres,Petit bac à compost 3L pour le plan de travail,high,1900,26,0.33
poubelle-compost-gifi,compost-cuisine,Poubelle compost Gifi,Les bacs à compost disponibles chez Gifi,medium,390,18,0.28
bac-compost-cuisine-5-litres,compost-cuisine,Bac à compost cuisine 5 litres,Bac compost cuisine 5L : comparatif modèles,high,700,25,0.38
bac-compost-cuisine-inox,compost-cuisine,Bac à compost cuisine inox,Bacs compost en inox pour cuisine : hygiénique et durable,high,500,22,0.4
bac-compost-cuisine-bambou,compost-cuisine,Bac à compost cuisine bambou,Bac compost cuisine en bambou : naturel et design,medium,350,20,0.38
bac-compost-hermetique-sans-odeur,compost-cuisine,Bac à compost hermétique sans odeur,Bacs à compost cuisine hermétiques pour éviter les odeurs,high,600,24,0.42
bac-compost-charbon-actif-filtre,compost-cuisine,Bac à compost avec filtre charbon actif,Bacs compost avec filtre au charbon pour zéro odeur,high,400,22,0.4
poubelle-encastrable-meuble-cuisine-guide,poubelle-integree,Poubelle encastrable meuble cuisine : guide d'achat,Comment choisir et installer une poubelle encastrable dans son meuble,high,800,28,0.65
poubelle-coulissante-sous-evier,poubelle-integree,Poubelle coulissante sous évier,Poubelles coulissantes à fixer sous l'évier,high,600,25,0.6
poubelle-tiroir-meuble-cuisine-integree,poubelle-integree,Poubelle tiroir meuble cuisine intégrée,Poubelles intégrées dans un tiroir de cuisine,high,450,22,0.58
poubelle-porte-meuble-fixation,poubelle-integree,Poubelle fixée sur porte de meuble,Poubelles accrochées à l'intérieur d'une porte de placard,medium,300,20,0.5
kit-poubelle-integree-cuisine-ikea-compatible,poubelle-integree,Kit poubelle intégrée cuisine compatible Ikea,Kits de poubelles encastrables compatibles avec les meubles Ikea,high,350,25,0.6
poubelle-encastrable-ikea-maximera,poubelle-integree,Poubelle encastrable Ikea Maximera,Utiliser les tiroirs Ikea Maximera comme poubelle encastrable,medium,200,22,0.45
poubelle-encastrable-bloc-cuisine-leroy-merlin,poubelle-integree,Poubelle encastrable bloc cuisine Leroy Merlin,Poubelles encastrables disponibles chez Leroy Merlin,medium,250,22,0.55
poubelle-compacte-etroite-couloir-cuisine,poubelle-integree,Poubelle compacte et étroite pour couloir cuisine,Poubelles slim pour les espaces étroits,medium,180,18,0.45
poubelle-angulaire-coin-cuisine,poubelle-integree,Poubelle angulaire pour coin cuisine,Poubelles pour optimiser les angles et coins de cuisine,low,80,12,0.35
abri-poubelle-2-bacs-roulants,cache-poubelle-abri,Abri poubelle pour 2 bacs roulants,Abris pour 2 bacs roulants 120L ou 240L,high,400,22,0.45
abri-poubelle-3-bacs-roulants,cache-poubelle-abri,Abri poubelle pour 3 bacs roulants,Abris pour 3 bacs roulants de tri sélectif,high,300,20,0.42
abri-poubelle-bois-naturel,cache-poubelle-abri,Abri poubelle bois naturel jardin,Abris poubelle en bois naturel pour jardin,high,350,22,0.45
abri-poubelle-metal-zinc,cache-poubelle-abri,Abri poubelle métal zinc,Abris poubelle en métal galvanisé ou zinc,medium,180,20,0.4
abri-poubelle-acier-galvanise-robuste,cache-poubelle-abri,Abri poubelle acier galvanisé robuste,Abri poubelle en acier galvanisé pour une protection durable,medium,150,18,0.42
palissade-cache-poubelle-bois-deco,cache-poubelle-abri,Palissade cache-poubelle bois décoratif,Palissades en bois pour cacher les bacs roulants,medium,200,18,0.38
cache-poubelle-haie-vegetale-claustra,cache-poubelle-abri,Cache-poubelle haie végétale et claustra,Utiliser une haie ou un claustra pour cacher ses poubelles,medium,150,15,0.3
box-poubelle-1-bac-roulant-120l,cache-poubelle-abri,Box poubelle 1 bac roulant 120L,Box fermé pour 1 bac roulant 120 litres,high,280,20,0.4
entrepot-poubelle-communauté-appartement,cache-poubelle-abri,Local poubelles commun immeuble,Organiser et équiper un local poubelles pour un immeuble,medium,200,18,0.35
poubelle-resine-tresse-imitation-rotin,materiau-tendance,Poubelle résine tressée imitation rotin,Poubelles en résine tressée style rotin pour salle de bain,medium,200,20,0.42
poubelle-fibre-naturelle-seagrass,materiau-tendance,Poubelle fibre naturelle seagrass,Corbeilles et poubelles en fibres naturelles marines,low,80,15,0.35
poubelle-ciment-beton-industriel,materiau-tendance,Poubelle béton et ciment style industriel,Poubelles design béton pour un intérieur industriel,low,60,12,0.4
poubelle-cuir-vegan-design,materiau-tendance,Poubelle cuir vegan design,Corbeilles en cuir synthétique pour bureau et chambre,low,50,12,0.45
poubelle-velours-chambre-design,materiau-tendance,Poubelle velours chambre design,Corbeilles en velours pour une chambre cosy,low,70,15,0.4
poubelle-liege-naturel-salle-bain,materiau-tendance,Poubelle liège naturel salle de bain,Poubelles en liège : matériau naturel et imperméable,low,60,12,0.38
poubelle-plastique-recycle-ecologique,materiau-tendance,Poubelle en plastique recyclé,Poubelles fabriquées à partir de plastique recyclé,medium,150,20,0.42
poubelle-acier-inox-brossé-mat,materiau-tendance,Poubelle acier inox brossé mat,Poubelles inox brossé mat : élégant et anti-traces de doigts,medium,180,22,0.65
poubelle-terracotta-tendance,couleur-tendance,Poubelle terracotta tendance déco,Poubelles couleur terracotta pour une déco chaleureuse,medium,100,18,0.42
poubelle-vert-sauge-cuisine,couleur-tendance,Poubelle vert sauge cuisine,Poubelles vert sauge tendance pour cuisine,medium,120,18,0.45
poubelle-bleu-canard-salle-bain,couleur-tendance,Poubelle bleu canard salle de bain,Poubelles bleu canard pour salle de bain tendance,medium,100,18,0.42
poubelle-rose-pale-chambre,couleur-tendance,Poubelle rose pâle chambre déco,Corbeilles et poubelles rose poudré pour chambre,medium,120,18,0.4
poubelle-jaune-moutarde-design,couleur-tendance,Poubelle jaune moutarde design,Poubelles couleur moutarde pour une déco originale,low,80,15,0.38
poubelle-gris-anthracite-moderne,couleur-tendance,Poubelle gris anthracite moderne,Poubelles gris anthracite pour un intérieur contemporain,medium,200,20,0.48
poubelle-beige-naturel-decor-simple,couleur-tendance,Poubelle beige naturel décor épuré,Poubelles beige naturel pour une déco épurée,medium,150,18,0.42
poubelle-bicolore-deux-tons,couleur-tendance,Poubelle bicolore deux tons,Poubelles en deux couleurs pour un effet décoratif original,low,80,15,0.4
lombricompostage-guide-complet-vers,compostage-avance,Guide complet du lombricompostage avec des vers,"Tout sur le lombricompostage : vers, installation, entretien",high,600,28,0.45
composteur-rotatif-avantages-inconvenients,compostage-avance,Composteur rotatif : avantages et inconvénients,Le composteur rotatif est-il fait pour vous ?,medium,350,25,0.4
composteur-avec-aeration-accelerateur,compostage-avance,Composteur avec aération : accélérer le compostage,Techniques pour accélérer son compostage,medium,200,22,0.38
ratio-brun-vert-compost-equilibre,compostage-avance,Ratio brun/vert dans le compost : l'équilibre parfait,Comment équilibrer matières brunes et vertes dans son compost,medium,250,22,0.3
problemes-composteur-mouches-odeurs-solutions,compostage-avance,"Problèmes composteur : mouches, odeurs, solutions",Résoudre les problèmes courants avec son composteur,high,400,22,0.3
compost-pret-quand-utiliser-jardin,compostage-avance,Quand le compost est-il prêt à utiliser ?,Comment savoir si son compost est mûr et prêt pour le jardin,medium,300,20,0.25
utiliser-compost-potager-fleurs-arbres,compostage-avance,Comment utiliser son compost au jardin,"Appliquer son compost maison sur potager, fleurs et arbres",medium,350,20,0.22
composteur-collectif-quartier-installation,compostage-avance,Composteur collectif quartier : installer et gérer,Guide d'installation et de gestion d'un composteur collectif,medium,200,22,0.28
compostage-dechets-originaux-carton-cendres,compostage-avance,"Composter des déchets originaux : carton, cendres, marc de café",Ce qu'on peut vraiment composter au-delà des épluchures,medium,280,20,0.25
thé-compost-arrosage-liquide-vers,compostage-avance,Thé de compost et jus de vers : l'engrais liquide maison,Récupérer et utiliser le liquide de son composteur,medium,200,18,0.22
collecte-dechets-nice-calendrier,local,Collecte déchets Nice : calendrier,Calendrier de collecte des déchets à Nice,medium,200,18,0.08
collecte-dechets-rennes-calendrier,local,Collecte déchets Rennes : calendrier,Jours de collecte des déchets à Rennes,medium,180,16,0.08
collecte-dechets-montpellier-tri,local,Collecte déchets Montpellier,Guide du tri des déchets à Montpellier,medium,160,16,0.08
collecte-dechets-lille-calendrier,local,Collecte déchets Lille : calendrier,Calendrier de collecte des déchets à Lille,medium,200,16,0.08
biodechets-grenoble-collecte-bac-marron,local,Biodéchets Grenoble : collecte bac marron,Collecte des biodéchets à Grenoble : guide pratique,medium,150,15,0.1
tri-selectif-metz-nancy-guide,local,Tri sélectif Metz et Nancy,Consignes de tri dans la région de Metz et Nancy,low,100,12,0.08
gestion-dechets-dom-tom-reunion-martinique,local,Gestion des déchets DOM-TOM : Réunion et Martinique,Tri sélectif et collecte des déchets dans les DOM-TOM,low,80,12,0.1
poubelle-style-industriel-loft,style-interieur,Poubelle style industriel pour loft,Poubelles au style industriel pour appartements loft,medium,150,20,0.5
poubelle-style-campagne-chic,style-interieur,Poubelle style campagne chic,Poubelles au style campagne et shabby chic,medium,120,18,0.45
poubelle-style-contemporain-epure,style-interieur,Poubelle style contemporain épuré,Poubelles contemporaines pour intérieurs modernes épurés,medium,160,20,0.48
poubelle-style-classique-haussmannien,style-interieur,Poubelle style classique appartement haussmannien,Poubelles classiques pour appartements de standing,low,80,15,0.45
poubelle-couleur-accord-cuisine,style-interieur,Choisir la couleur de sa poubelle selon sa cuisine,Comment harmoniser la couleur de sa poubelle avec sa cuisine,medium,200,18,0.4
poubelle-amenagement-petite-cuisine,style-interieur,Poubelle pour petite cuisine ou studio,Optimiser l'espace dans une petite cuisine grâce à la bonne poubelle,high,280,20,0.45
poubelle-salle-bain-luxe-design-marbre,style-interieur,Poubelle salle de bain luxe design marbre,"Poubelles salle de bain luxe : marbre, laiton et design",medium,120,20,0.6
corbeille-tressee-naturelle-salle-bain,style-interieur,Corbeille tressée naturelle salle de bain,"Corbeilles en osier, jonc ou jute pour salle de bain",medium,180,18,0.42
poubelle-anti-mauvaise-odeur-technologie,fonction-speciale,Poubelle anti-mauvaise odeur : technologie et solutions,Les meilleures technologies pour neutraliser les odeurs de poubelle,high,300,22,0.5
poubelle-hermétique-odeur-zero,fonction-speciale,Poubelle hermétique odeur zéro,Poubelles hermétiques garantissant zéro odeur,high,400,24,0.55
poubelle-antibacterienne-hygiene-max,fonction-speciale,Poubelle antibactérienne hygiène maximale,Poubelles avec traitement antibactérien pour cuisine et salle de bain,medium,150,20,0.5
poubelle-desinfection-automatique-uv,fonction-speciale,Poubelle désinfection automatique UV,Poubelles avec lampe UV pour désinfection automatique,low,80,18,0.6
poubelle-connectee-wifi-capteur-remplissage,fonction-speciale,Poubelle connectée WiFi et capteur de remplissage,Poubelles intelligentes connectées avec alerte de remplissage,medium,120,22,0.65
poubelle-trieur-automatique-ia,fonction-speciale,Poubelle trieur automatique avec IA,Les poubelles qui trient automatiquement vos déchets,low,100,20,0.7
poubelle-compacteur-electrique-maison,fonction-speciale,Compacteur de déchets électrique maison,Compacteurs électriques pour réduire le volume des déchets,medium,200,22,0.8
poubelle-balance-pesee-dechet,fonction-speciale,Poubelle avec balance intégrée,Peser ses déchets pour suivre sa consommation et sa production,low,50,15,0.45
poubelle-rechargeable-piles-capteur,fonction-speciale,Poubelle automatique rechargeable vs piles,Poubelle capteur : batterie rechargeable ou piles ?,medium,150,18,0.6
poubelle-multicompartiment-4-5-bacs,fonction-speciale,Poubelle multicompartiment 4 ou 5 bacs,Poubelles avec 4 à 5 compartiments pour un tri sélectif complet,medium,180,20,0.6
calculateur-taille-poubelle-besoin,ressource-outil,Calculateur : quelle taille de poubelle pour moi ?,Outil interactif pour trouver la taille de poubelle idéale,medium,200,18,0.4
checklist-tri-selectif-maison,ressource-outil,Checklist tri sélectif maison à imprimer,Liste à imprimer pour apprendre à trier correctement ses déchets,medium,200,18,0.15
tableau-dechets-recyclables-imprimable,ressource-outil,Tableau déchets recyclables à imprimer,Tableau de tri à coller sur son bac de recyclage,high,400,18,0.12
application-tri-selectif-mobile,ressource-outil,Application mobile tri sélectif,Les meilleures applications mobiles pour le tri sélectif,medium,300,20,0.15
guide-dechetterie-france-horaires,ressource-outil,Trouver sa déchetterie en France : horaires,Comment trouver la déchetterie la plus proche,high,500,18,0.12
bilan-dechets-famille-reduire-impact,ressource-outil,Bilan déchets famille : réduire son impact,Évaluer et réduire la production de déchets de sa famille,medium,200,20,0.2
comparateur-prix-poubelles-en-ligne,ressource-outil,Comparateur prix poubelles en ligne,Comparer les prix des poubelles sur les principaux sites,high,350,22,0.5
etiquettes-bacs-poubelle-a-imprimer,ressource-outil,Étiquettes bacs poubelle à imprimer,Télécharger et imprimer des étiquettes pour ses bacs de tri,medium,250,15,0.12
sticker-poubelle-tri-selectif-personnalise,ressource-outil,Sticker poubelle tri sélectif personnalisé,Stickers personnalisés pour identifier ses bacs de tri,medium,180,15,0.15
corbeille-rue-urbaine-municipalite,espace-public,Corbeille de rue urbaine pour municipalité,Corbeilles de rue pour espaces publics et mairies,medium,200,22,0.6
corbeille-parc-jardin-public,espace-public,Corbeille parc et jardin public,Corbeilles poubelles pour parcs et jardins publics,medium,150,20,0.55
poubelle-plage-bord-de-mer,espace-public,Poubelle plage et bord de mer,Solutions de collecte des déchets en bord de mer et plage,medium,120,18,0.45
poubelle-cendrier-terrasse-bar,espace-public,Poubelle cendrier pour terrasse bar et restaurant,Cendriers extérieurs pour terrasses de bars et restaurants,medium,180,20,0.65
corbeille-tri-selectif-espace-public,espace-public,Corbeille tri sélectif espace public,Corbeilles de tri sélectif pour espaces publics,medium,160,22,0.6
poubelle-enterree-semi-enterree-collectivite,espace-public,Poubelle enterrée et semi-enterrée collectivité,Solutions de collecte enterrée pour collectivités,medium,200,25,1.2
container-verre-borne-recyclage,espace-public,Container verre et borne de recyclage,Colonnes et bornes de recyclage pour espaces publics,medium,250,22,0.7
produit-nettoyant-poubelle-inox,nettoyage-entretien,Produit nettoyant poubelle inox,Les meilleurs produits pour nettoyer une poubelle inox,medium,150,18,0.28
nettoyage-bac-roulant-professionnel,nettoyage-entretien,Nettoyage bac roulant professionnel,Services de nettoyage professionnel pour bacs roulants,medium,120,15,0.35
desinfectant-poubelle-naturel-vinaigre-bicarbonate,nettoyage-entretien,Désinfectant poubelle naturel : vinaigre et bicarbonate,Nettoyer et désinfecter sa poubelle avec des produits naturels,medium,200,18,0.2
frequence-nettoyage-poubelle-hygiene,nettoyage-entretien,À quelle fréquence nettoyer sa poubelle ?,Conseils hygiène sur la fréquence de nettoyage des poubelles,low,80,12,0.18
spray-anti-odeur-poubelle-efficace,nettoyage-entretien,Spray anti-odeur poubelle efficace,Les meilleurs sprays pour éliminer les odeurs de poubelle,medium,180,18,0.3
sac-poubelle-10-litres,sac-volume,Sac poubelle 10 litres,Sacs poubelle 10L pour petites corbeilles et bureau,medium,320,18,0.22
sac-poubelle-20-litres,sac-volume,Sac poubelle 20 litres,Sacs poubelle 20L pour salle de bain et bureau,medium,250,15,0.22
sac-poubelle-50-litres,sac-volume,Sac poubelle 50 litres,Sacs poubelle 50L pour cuisine,high,700,18,0.25
sac-poubelle-100-litres,sac-volume,Sac poubelle 100 litres,Sacs poubelle 100L grande capacité,medium,390,18,0.3
sac-poubelle-150-litres,sac-volume,Sac poubelle 150 litres,Sacs poubelle 150L pour grandes poubelles extérieures,medium,170,18,0.35
sac-poubelle-240-litres-bac-roulant,sac-volume,Sac poubelle 240 litres pour bac roulant,Sacs poubelle 240L adaptés aux bacs roulants,medium,220,16,0.4
sac-poubelle-transparent-30l,sac-volume,Sac poubelle transparent 30 litres,Sacs poubelle transparents 30L pour bureau et tri,medium,500,16,0.22
sac-poubelle-action-pas-cher,sac-enseigne,Sac poubelle Action pas cher,Les sacs poubelle disponibles chez Action,medium,170,15,0.18
sac-poubelle-leclerc-prix,sac-enseigne,Sac poubelle Leclerc : prix et modèles,Sacs poubelle disponibles chez E.Leclerc,medium,110,15,0.18
sac-poubelle-carrefour-avis,sac-enseigne,Sac poubelle Carrefour : avis,Les sacs poubelle de marque Carrefour : qualité et prix,medium,300,15,0.2
sac-poubelle-leroy-merlin-gamme,sac-enseigne,Sac poubelle Leroy Merlin,Sacs poubelle disponibles chez Leroy Merlin,medium,100,15,0.2
composteur-leroy-merlin-catalogue,composteur-enseigne,Composteur Leroy Merlin : catalogue et prix,Tous les composteurs disponibles chez Leroy Merlin,high,1200,28,0.4
